<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r0 = <jdk.internal.misc.TerminatingThreadLocal: java.lang.ThreadLocal REGISTRY>
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(char[])>($r10) , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>] , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r6 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $r6 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c3 = (char) i6
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $c3 = (char) i6 , $r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c3)
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c3) , $r8 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $r8 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader> , $i4 = virtualinvoke $r8.<org.apache.commons.csv.ExtendedBufferedReader: int getLastChar()>()
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $i4 = virtualinvoke $r8.<org.apache.commons.csv.ExtendedBufferedReader: int getLastChar()>() , $c5 = (char) $i4
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $c5 = (char) $i4 , virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c5)
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c5) , goto [?= (branch)]
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , goto [?= (branch)] , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c2 = (char) i1
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $c2 = (char) i1 , virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2)
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2) , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>] , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c0 = (char) i6
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $c0 = (char) i6 , virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c0)
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c0) , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader> , i6 = virtualinvoke $r17.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , i6 = virtualinvoke $r17.<org.apache.commons.csv.ExtendedBufferedReader: int read()>() , goto [?= $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)]
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , goto [?= $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)] , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces> , if $z5 == 0 goto return r1
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , if $z5 == 0 goto return r1 , $r14 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , if $z5 == 0 goto return r1 , return r1
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , $r14 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , virtualinvoke r0.<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)>($r14)
<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)> , virtualinvoke r0.<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)>($r14) , return r1
<org.apache.commons.csv.Lexer: int readEscape()> , r0 := @this: org.apache.commons.csv.Lexer
<org.apache.commons.csv.Lexer: int readEscape()> , r0 := @this: org.apache.commons.csv.Lexer , r1 := @parameter0: org.apache.commons.csv.Token
<org.apache.commons.csv.Lexer: int readEscape()> , r1 := @parameter0: org.apache.commons.csv.Token , i6 := @parameter1: int
<org.apache.commons.csv.Lexer: int readEscape()> , i6 := @parameter1: int , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)
<org.apache.commons.csv.Lexer: int readEscape()> , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6) , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6)
<org.apache.commons.csv.Lexer: int readEscape()> , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , $r16 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EORECORD>
<org.apache.commons.csv.Lexer: int readEscape()> , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6)
<org.apache.commons.csv.Lexer: int readEscape()> , $r16 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EORECORD> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r16
<org.apache.commons.csv.Lexer: int readEscape()> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r16 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: int readEscape()> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: int readEscape()> , $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6)
<org.apache.commons.csv.Lexer: int readEscape()> , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6) , $r15 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EOF>
<org.apache.commons.csv.Lexer: int readEscape()> , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6) , $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6)
<org.apache.commons.csv.Lexer: int readEscape()> , $r15 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EOF> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r15
<org.apache.commons.csv.Lexer: int readEscape()> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r15 , r1.<org.apache.commons.csv.Token: boolean isReady> = 1
<org.apache.commons.csv.Lexer: int readEscape()> , r1.<org.apache.commons.csv.Token: boolean isReady> = 1 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: int readEscape()> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: int readEscape()> , $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6) , if $z2 == 0 goto $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6)
<org.apache.commons.csv.Lexer: int readEscape()> , if $z2 == 0 goto $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6) , $r13 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type TOKEN>
<org.apache.commons.csv.Lexer: int readEscape()> , if $z2 == 0 goto $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6) , $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6)
<org.apache.commons.csv.Lexer: int readEscape()> , $r13 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type TOKEN> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r13
<org.apache.commons.csv.Lexer: int readEscape()> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r13 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: int readEscape()> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: int readEscape()> , $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6) , if $z3 == 0 goto $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: int readEscape()> , if $z3 == 0 goto $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $z4 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()>()
<org.apache.commons.csv.Lexer: int readEscape()> , if $z3 == 0 goto $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: int readEscape()> , $z4 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()>() , if $z4 == 0 goto i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>()
<org.apache.commons.csv.Lexer: int readEscape()> , if $z4 == 0 goto i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , $r11 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: int readEscape()> , if $z4 == 0 goto i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>()
<org.apache.commons.csv.Lexer: int readEscape()> , $r11 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r10 = r0.<org.apache.commons.csv.Lexer: char[] delimiter>
<org.apache.commons.csv.Lexer: int readEscape()> , $r10 = r0.<org.apache.commons.csv.Lexer: char[] delimiter> , virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(char[])>($r10)
<org.apache.commons.csv.Lexer: int readEscape()> , virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(char[])>($r10) , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: int readEscape()> , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>] , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: int readEscape()> , i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: int readEscape()> , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r6 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: int readEscape()> , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: int readEscape()> , $r6 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c3 = (char) i6
<org.apache.commons.csv.Lexer: int readEscape()> , $c3 = (char) i6 , $r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c3)
<org.apache.commons.csv.Lexer: int readEscape()> , $r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c3) , $r8 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: int readEscape()> , $r8 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader> , $i4 = virtualinvoke $r8.<org.apache.commons.csv.ExtendedBufferedReader: int getLastChar()>()
<org.apache.commons.csv.Lexer: int readEscape()> , $i4 = virtualinvoke $r8.<org.apache.commons.csv.ExtendedBufferedReader: int getLastChar()>() , $c5 = (char) $i4
<org.apache.commons.csv.Lexer: int readEscape()> , $c5 = (char) $i4 , virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c5)
<org.apache.commons.csv.Lexer: int readEscape()> , virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c5) , goto [?= (branch)]
<org.apache.commons.csv.Lexer: int readEscape()> , goto [?= (branch)] , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: int readEscape()> , $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c2 = (char) i1
<org.apache.commons.csv.Lexer: int readEscape()> , $c2 = (char) i1 , virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2)
<org.apache.commons.csv.Lexer: int readEscape()> , virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2) , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: int readEscape()> , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>] , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: int readEscape()> , $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c0 = (char) i6
<org.apache.commons.csv.Lexer: int readEscape()> , $c0 = (char) i6 , virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c0)
<org.apache.commons.csv.Lexer: int readEscape()> , virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c0) , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: int readEscape()> , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader> , i6 = virtualinvoke $r17.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.Lexer: int readEscape()> , i6 = virtualinvoke $r17.<org.apache.commons.csv.ExtendedBufferedReader: int read()>() , goto [?= $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)]
<org.apache.commons.csv.Lexer: int readEscape()> , goto [?= $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)] , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)
<org.apache.commons.csv.Lexer: int readEscape()> , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces> , if $z5 == 0 goto return r1
<org.apache.commons.csv.Lexer: int readEscape()> , if $z5 == 0 goto return r1 , $r14 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: int readEscape()> , if $z5 == 0 goto return r1 , return r1
<org.apache.commons.csv.Lexer: int readEscape()> , $r14 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , virtualinvoke r0.<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)>($r14)
<org.apache.commons.csv.Lexer: int readEscape()> , virtualinvoke r0.<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)>($r14) , return r1
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , r0 := @this: org.apache.commons.csv.Lexer
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , r0 := @this: org.apache.commons.csv.Lexer , r1 := @parameter0: org.apache.commons.csv.Token
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , r1 := @parameter0: org.apache.commons.csv.Token , i6 := @parameter1: int
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , i6 := @parameter1: int , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6) , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , $r16 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EORECORD>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r16 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EORECORD> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r16
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r16 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6) , $r15 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EOF>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6) , $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r15 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EOF> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r15
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r15 , r1.<org.apache.commons.csv.Token: boolean isReady> = 1
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , r1.<org.apache.commons.csv.Token: boolean isReady> = 1 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6) , if $z2 == 0 goto $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z2 == 0 goto $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6) , $r13 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type TOKEN>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z2 == 0 goto $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6) , $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r13 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type TOKEN> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r13
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r13 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6) , if $z3 == 0 goto $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z3 == 0 goto $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $z4 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()>()
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z3 == 0 goto $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $z4 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()>() , if $z4 == 0 goto i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>()
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z4 == 0 goto i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , $r11 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z4 == 0 goto i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>()
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r11 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r10 = r0.<org.apache.commons.csv.Lexer: char[] delimiter>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r10 = r0.<org.apache.commons.csv.Lexer: char[] delimiter> , virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(char[])>($r10)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(char[])>($r10) , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>] , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
